H,spin_class,class_frequency,mean_phase_index,mean_signature_value,eigvec2_value_z,corr_eigvec2_vs_mean_phase,corr_eigvec2_vs_mean_sig
1,0,4816,2502.0392441860463,0.0,-1.0,-1.0,0.9999999999999999
1,1,189,2501.0,1.0,1.0,-1.0,0.9999999999999999
2,0,4627,2502.122541603631,0.0,1.2119155004437336,0.5133217184656431,-0.9998403726350865
2,1,189,2500.0,1.0,0.025267736302687957,0.5133217184656431,-0.9998403726350865
2,2,189,2501.0,2.0,-1.2371832367464217,0.5133217184656431,-0.9998403726350865
3,0,4438,2502.255520504732,0.0,-1.523900557640123,-0.44005920871290727,0.9480735103798433
3,1,189,2499.0,1.0,-0.06841735901188067,-0.44005920871290727,0.9480735103798433
3,2,189,2500.0,2.0,0.34598788997283053,-0.44005920871290727,0.9480735103798433
3,3,189,2501.0,4.0,1.2463300266791735,-0.44005920871290727,0.9480735103798433
5,0,4060,2502.698275862069,0.0,-1.074333633338156,-0.06528836715372627,0.727635430616864
5,1,189,2497.0,1.0,-0.2644573431893856,-0.06528836715372627,0.727635430616864
5,2,189,2498.0,2.0,0.16964454700698392,-0.06528836715372627,0.727635430616864
5,3,189,2499.0,4.0,0.22495964582725728,-0.06528836715372627,0.727635430616864
5,4,189,2500.0,8.0,-0.9857713313154767,-0.06528836715372627,0.727635430616864
5,5,189,2501.0,16.0,1.9299581150087768,-0.06528836715372627,0.727635430616864
8,0,3565,2503.817671809257,0.0,-1.7549435112020162,-0.06575537177026816,0.6455640258615235
8,1,165,2493.6363636363635,1.0,-0.1339119772148191,-0.06575537177026816,0.6455640258615235
8,2,165,2494.6363636363635,2.0,0.03945470040993659,-0.06575537177026816,0.6455640258615235
8,3,165,2495.6363636363635,4.0,0.27550144626685835,-0.06575537177026816,0.6455640258615235
8,4,189,2497.0,8.0,0.2971361101393695,-0.06575537177026816,0.6455640258615235
8,5,189,2498.0,16.0,-0.9181093793328176,-0.06575537177026816,0.6455640258615235
8,6,165,2499.3636363636365,32.0,-1.1200815504427772,-0.06575537177026816,0.6455640258615235
8,7,24,2496.5,33.0,-0.1629209527916761,-0.06575537177026816,0.6455640258615235
8,8,165,2500.3636363636365,64.0,0.5521842142762047,-0.06575537177026816,0.6455640258615235
8,9,24,2497.5,66.0,0.08031770389472115,-0.06575537177026816,0.6455640258615235
8,10,165,2501.3636363636365,128.0,2.4840559647592997,-0.06575537177026816,0.6455640258615235
8,11,24,2498.5,132.0,0.36131723123771686,-0.06575537177026816,0.6455640258615235
13,0,2740,2507.786496350365,0.0,-4.333520719007508,-0.3692706917378611,0.21499072183839682
13,1,165,2488.6363636363635,1.0,-0.2824474442749475,-0.3692706917378611,0.21499072183839682
13,2,165,2489.6363636363635,2.0,-0.27419550394837955,-0.3692706917378611,0.21499072183839682
13,3,165,2490.6363636363635,4.0,-0.2285669068254209,-0.3692706917378611,0.21499072183839682
13,4,165,2491.6363636363635,8.0,-0.14045881302437888,-0.3692706917378611,0.21499072183839682
13,5,165,2492.6363636363635,16.0,-0.00869433195404539,-0.3692706917378611,0.21499072183839682
13,6,141,2494.0,32.0,0.13901766278114497,-0.3692706917378611,0.21499072183839682
13,7,24,2491.5,33.0,0.023662580898917505,-0.3692706917378611,0.21499072183839682
