b,spin,b_next,spin_next
0,0,1,0
0,7,1,8
1,0,2,0
1,8,2,0
2,0,3,0
3,0,4,0
4,0,5,0
5,0,6,0
6,0,7,0
7,0,8,0
8,0,9,1
9,0,10,0
9,1,10,2
10,0,11,0
10,2,11,3
11,0,12,0
11,3,12,4
12,0,13,0
12,4,13,5
13,0,14,0
13,5,14,6
14,0,15,0
14,6,15,7
15,0,16,0
15,7,16,8
16,0,17,0
16,8,17,0
17,0,18,0
18,0,19,0
19,0,20,0
20,0,21,0
21,0,22,0
22,0,23,0
23,0,24,1
24,0,25,0
24,1,25,2
25,0,26,0
25,2,26,3
26,0,27,0
26,3,27,4
27,0,28,0
27,4,28,5
28,0,29,1
28,5,29,6
29,0,30,0
29,1,30,2
29,6,30,7
29,9,30,10
30,0,31,0
30,2,31,3
30,7,31,8
30,10,31,11
31,0,32,0
31,3,32,4
31,8,32,0
31,11,32,4
32,0,33,0
32,4,33,5
33,0,34,0
33,5,34,6
34,0,0,0
34,6,0,7
