name,n,is_prime,smallest_prime_factor,wheel_max_prime,used_primes,local_filter_bits,alive_after_filters
prime_887,887,True,887,5,"2,3,5",111,1
prime_887,887,True,887,7,"2,3,5,7",1111,1
prime_887,887,True,887,11,"2,3,5,7,11",11111,1
prime_887,887,True,887,13,"2,3,5,7,11,13",111111,1
prime_887,887,True,887,17,"2,3,5,7,11,13,17",1111111,1
prime_887,887,True,887,19,"2,3,5,7,11,13,17,19",11111111,1
prime_887,887,True,887,23,"2,3,5,7,11,13,17,19,23",111111111,1
semiprime_29x31,899,False,29,5,"2,3,5",111,1
semiprime_29x31,899,False,29,7,"2,3,5,7",1111,1
semiprime_29x31,899,False,29,11,"2,3,5,7,11",11111,1
semiprime_29x31,899,False,29,13,"2,3,5,7,11,13",111111,1
semiprime_29x31,899,False,29,17,"2,3,5,7,11,13,17",1111111,1
semiprime_29x31,899,False,29,19,"2,3,5,7,11,13,17,19",11111111,1
semiprime_29x31,899,False,29,23,"2,3,5,7,11,13,17,19,23",111111111,1
prime_1009,1009,True,1009,5,"2,3,5",111,1
prime_1009,1009,True,1009,7,"2,3,5,7",1111,1
prime_1009,1009,True,1009,11,"2,3,5,7,11",11111,1
prime_1009,1009,True,1009,13,"2,3,5,7,11,13",111111,1
prime_1009,1009,True,1009,17,"2,3,5,7,11,13,17",1111111,1
prime_1009,1009,True,1009,19,"2,3,5,7,11,13,17,19",11111111,1
prime_1009,1009,True,1009,23,"2,3,5,7,11,13,17,19,23",111111111,1
semiprime_1009x1013,1022117,False,1009,5,"2,3,5",111,1
semiprime_1009x1013,1022117,False,1009,7,"2,3,5,7",1111,1
semiprime_1009x1013,1022117,False,1009,11,"2,3,5,7,11",11111,1
semiprime_1009x1013,1022117,False,1009,13,"2,3,5,7,11,13",111111,1
semiprime_1009x1013,1022117,False,1009,17,"2,3,5,7,11,13,17",1111111,1
semiprime_1009x1013,1022117,False,1009,19,"2,3,5,7,11,13,17,19",11111111,1
semiprime_1009x1013,1022117,False,1009,23,"2,3,5,7,11,13,17,19,23",111111111,1
composite_17x101,1717,False,17,5,"2,3,5",111,1
composite_17x101,1717,False,17,7,"2,3,5,7",1111,1
composite_17x101,1717,False,17,11,"2,3,5,7,11",11111,1
composite_17x101,1717,False,17,13,"2,3,5,7,11,13",111111,1
composite_17x101,1717,False,17,17,"2,3,5,7,11,13,17",1111110,0
composite_17x101,1717,False,17,19,"2,3,5,7,11,13,17,19",11111101,0
composite_17x101,1717,False,17,23,"2,3,5,7,11,13,17,19,23",111111011,0
composite_19x101,1919,False,19,5,"2,3,5",111,1
composite_19x101,1919,False,19,7,"2,3,5,7",1111,1
composite_19x101,1919,False,19,11,"2,3,5,7,11",11111,1
composite_19x101,1919,False,19,13,"2,3,5,7,11,13",111111,1
composite_19x101,1919,False,19,17,"2,3,5,7,11,13,17",1111111,1
composite_19x101,1919,False,19,19,"2,3,5,7,11,13,17,19",11111110,0
composite_19x101,1919,False,19,23,"2,3,5,7,11,13,17,19,23",111111101,0
composite_23x101,2323,False,23,5,"2,3,5",111,1
composite_23x101,2323,False,23,7,"2,3,5,7",1111,1
composite_23x101,2323,False,23,11,"2,3,5,7,11",11111,1
composite_23x101,2323,False,23,13,"2,3,5,7,11,13",111111,1
composite_23x101,2323,False,23,17,"2,3,5,7,11,13,17",1111111,1
composite_23x101,2323,False,23,19,"2,3,5,7,11,13,17,19",11111111,1
composite_23x101,2323,False,23,23,"2,3,5,7,11,13,17,19,23",111111110,0
prime_1000003,1000003,True,1000003,5,"2,3,5",111,1
prime_1000003,1000003,True,1000003,7,"2,3,5,7",1111,1
prime_1000003,1000003,True,1000003,11,"2,3,5,7,11",11111,1
prime_1000003,1000003,True,1000003,13,"2,3,5,7,11,13",111111,1
prime_1000003,1000003,True,1000003,17,"2,3,5,7,11,13,17",1111111,1
prime_1000003,1000003,True,1000003,19,"2,3,5,7,11,13,17,19",11111111,1
prime_1000003,1000003,True,1000003,23,"2,3,5,7,11,13,17,19,23",111111111,1
