left_name,left_n,right_name,right_n,wheel_max_prime,left_bits,right_bits,same_state
prime_887,887,semiprime_29x31,899,5,111,111,True
prime_887,887,semiprime_29x31,899,7,1111,1111,True
prime_887,887,semiprime_29x31,899,11,11111,11111,True
prime_887,887,semiprime_29x31,899,13,111111,111111,True
prime_887,887,semiprime_29x31,899,17,1111111,1111111,True
prime_887,887,semiprime_29x31,899,19,11111111,11111111,True
prime_887,887,semiprime_29x31,899,23,111111111,111111111,True
prime_1000003,1000003,semiprime_1009x1013,1022117,5,111,111,True
prime_1000003,1000003,semiprime_1009x1013,1022117,7,1111,1111,True
prime_1000003,1000003,semiprime_1009x1013,1022117,11,11111,11111,True
prime_1000003,1000003,semiprime_1009x1013,1022117,13,111111,111111,True
prime_1000003,1000003,semiprime_1009x1013,1022117,17,1111111,1111111,True
prime_1000003,1000003,semiprime_1009x1013,1022117,19,11111111,11111111,True
prime_1000003,1000003,semiprime_1009x1013,1022117,23,111111111,111111111,True
